         ps       /tb_memory_controller/UUT/address_a             /tb_memory_controller/UUT/data_b  /tb_memory_controller/UUT/write_protect       /tb_memory_controller/UUT/q_b  /tb_memory_controller/UUT/last_wren_a                    
          delta              /tb_memory_controller/UUT/address_b   /tb_memory_controller/UUT/inclock          /tb_memory_controller/UUT/reset  /tb_memory_controller/UUT/local_wren_a                                                     
                                                 /tb_memory_controller/UUT/data_a  /tb_memory_controller/UUT/wren_b              /tb_memory_controller/UUT/q_a  /tb_memory_controller/UUT/local_wren_b                                    
                                                                    /tb_memory_controller/UUT/outclock                                    /tb_memory_controller/UUT/read_activity                                                         
                                                                        /tb_memory_controller/UUT/wren_a                                   /tb_memory_controller/UUT/write_activity                                                       
     200000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     205000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     210000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     215000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     220000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     225000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     230000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     235000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     240000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     245000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     250000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     255000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     260000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     265000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     270000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     275000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     280000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     285000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     290000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     295000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     300000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     305000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     310000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     315000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     320000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     325000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     330000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     335000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     340000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     345000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     350000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     355000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     360000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     365000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     370000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     375000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     380000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     385000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     390000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     395000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 1 1 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
     400000  +1                            0000000001 0000000010 0000000000000001 0000000000000010 0 0 0          0                       0 1 0000000000000001 0000000000000010 1 0 0                0               0 
